Date,Open,High,Low,Close,Volume
2016-07-12,444.4041735623391,452.67008034088735,426.62800661984556,447.15948486328125,16364151.0
2016-07-13,447.0705699890001,451.0257777302634,410.6294300893003,415.6956481933594,2440691.0
2016-07-14,416.4956171136199,437.7381322166374,402.1857966051339,433.47186279296875,2381010.0
2016-07-15,432.8496928743801,442.5376990559527,422.3173078590489,436.8049011230469,1276616.0
2016-07-18,437.29367582410833,455.0698415080152,432.84963440313163,446.1373291015625,1506745.0
2016-07-19,446.492864117215,450.9369057086588,435.5160759614933,440.0045471191406,669521.0
2016-07-20,440.0045291981707,451.2479756660104,436.31598025235894,441.11553955078125,756119.0
2016-07-21,441.6488724771211,443.9153500892815,432.3163846164434,433.64959716796875,331922.0
2016-07-22,435.5160688200481,438.0047212207376,427.51679408661863,429.11663818359375,329187.0
2016-07-25,431.82755328321775,440.0045740371508,422.2728632770895,428.3612060546875,296699.0
2016-07-26,431.8275222576453,441.64884322022704,429.1166406412246,435.42718505859375,356432.0
2016-07-27,439.6934665233288,472.75714535577345,436.49375129369287,465.5133361816406,1565742.0
2016-07-28,468.4019833867604,481.64524901874904,463.1579926133692,466.44659423828125,780663.0
2016-07-29,468.2241656512292,471.5127669585197,451.55901130538143,453.469970703125,298546.0
2016-08-01,459.9137805615721,537.5955790547049,458.62499791539574,526.974365234375,3669457.0
2016-08-02,531.5075027149248,549.9947093509478,515.6422921008713,535.5071411132812,1883855.0
2016-08-03,535.0626101613007,535.7736459696114,512.1313662898131,522.8859252929688,678231.0
2016-08-04,528.8409398285503,578.6142047535902,522.1748775618038,552.9721069335938,2289006.0
2016-08-05,556.3939623428895,561.7268118222144,545.0616571993243,552.216552734375,476195.0
2016-08-08,556.171834466495,556.171834466495,494.39965309147084,496.8883056640625,1581862.0
2016-08-09,499.065840566729,507.9539232126191,471.1128097956944,476.0456848144531,1375277.0
2016-08-10,479.6897398737945,494.1773009771947,476.6233410953609,489.111083984375,1002765.0
2016-08-11,490.62221030857296,493.68860997271287,471.957234916399,473.1571044921875,363157.0
2016-08-12,476.31238816197316,482.445132863432,468.4464021827356,470.890625,254952.0
2016-08-16,471.15722766977956,475.0235760739483,449.38145285188256,461.6025390625,413017.0
2016-08-17,461.2026617238059,471.06841243577463,460.4027125315684,467.2021179199219,165209.0
2016-08-18,469.29082287357073,495.37732702895676,463.06916423698925,483.333984375,489208.0
2016-08-19,484.3116895624157,498.6214822373632,476.7123348032686,482.17852783203125,305984.0
2016-08-22,485.6448765199982,509.9093322453273,483.4228557713682,506.13189697265625,608750.0
2016-08-23,509.99830709415966,509.99830709415966,488.9335347678523,491.95550537109375,169895.0
2016-08-24,490.7999441700342,501.1100985418117,484.8449178309247,488.7112121582031,162799.0
2016-08-25,489.0666835992854,500.8433915641932,480.4452337111157,481.5562438964844,176349.0
2016-08-26,481.73413043720757,493.2886391008306,477.29008864350635,481.4674987792969,158455.0
2016-08-29,483.8672683455306,485.6893145414195,469.69076487273844,472.490478515625,131200.0
2016-08-30,472.9349343242332,495.42183054660813,472.9349343242332,487.7780456542969,306524.0
2016-08-31,482.7117381454079,496.8438109984512,482.7117381454079,489.5555725097656,187513.0
2016-09-01,491.55546677431306,493.91083069542293,480.48979152460294,484.6227722167969,88041.0
2016-09-02,487.73357884944943,488.7557301446384,475.5124641174587,476.8901062011719,86255.0
2016-09-06,482.4451300161974,493.68857660868,477.73445691861747,490.97772216796875,202703.0
2016-09-07,488.8445635735925,491.7331905401637,480.00091016468684,482.2229309082031,70291.0
2016-09-08,482.0896851968186,487.0669904066605,475.95688569847937,483.333984375,96553.0
2016-09-09,484.2228007380519,490.4000299073947,475.9568935485453,480.0898742675781,90962.0
2016-09-12,475.15693957142247,475.245852958805,459.06952954805814,462.18035888671875,102587.0
2016-09-14,459.64720030933427,475.423546476454,459.64720030933427,472.3571472167969,93389.0
2016-09-15,466.6243325721685,501.1989952945551,466.6243325721685,487.8223876953125,335891.0
2016-09-16,490.6222123013047,494.1774457237779,483.55617502442783,487.5113830566406,213728.0
2016-09-19,487.955714141567,488.84452236404707,476.26786431653437,483.8672180175781,140395.0
2016-09-20,484.6227528728656,485.28935913541426,474.2236843273954,476.4012756347656,63363.0
2016-09-21,479.0676887864981,488.8445803943858,476.4012638025287,484.0894775390625,158475.0
2016-09-22,484.9337544971148,489.68891113468214,482.1784706499636,485.73370361328125,271641.0
2016-09-23,488.7556227365389,504.798598973064,485.733653331127,500.9322509765625,517305.0
2016-09-26,502.17668301452386,505.9985478054548,484.40051724409824,488.489013671875,149408.0
2016-09-27,487.64474256268255,503.2433188835717,482.6229534835499,493.4219970703125,160599.0
2016-09-28,502.3100402843656,505.2430968704334,484.71159227085013,487.3335876464844,217857.0
2016-09-29,488.84451227833785,511.50912148396986,453.29218411264054,494.8883972167969,413911.0
2016-09-30,490.79990361516013,510.79808830770384,481.2007858124487,496.9326477050781,187528.0
2016-10-03,498.62133213259136,526.5299275021738,498.62133213259136,518.1751098632812,443267.0
2016-10-04,519.3750547398266,533.2849248969752,513.9089168087613,527.3743286132812,255994.0
2016-10-05,524.1301794360115,550.1278179490679,524.1301794360115,539.639892578125,546197.0
2016-10-06,541.2841078814339,555.0606327946723,540.0397548995323,547.7279663085938,256471.0
2016-10-07,549.372441492097,565.193274156126,542.6619490298916,559.46044921875,208119.0
2016-10-10,560.126975338795,564.3488145665372,540.4398507142187,548.2613525390625,166054.0
2016-10-13,546.4393616065782,546.4393616065782,503.643272191219,527.0189208984375,180593.0
2016-10-14,530.6185635064064,533.1961293166632,519.0640554233523,525.3745727539062,54380.0
2016-10-17,526.1301082390426,543.7729321062698,518.26412187304,534.5293579101562,230508.0
2016-10-18,539.5066825234451,542.1731076430008,529.9075629427559,538.2623291015625,129136.0
