Date,Open,High,Low,Close,Volume
2010-01-04,1057.7726596869802,1082.3720238657472,1047.9329140154734,1054.4107666015625,2351
2010-01-05,1061.9545393820883,1097.951629247221,1055.312731024028,1073.229248046875,5327
2010-01-06,1072.5324324615835,1074.1723903093841,1053.7959340694786,1057.936767578125,2523
2010-01-07,1067.6127302841585,1112.7115783376369,1059.4129397289807,1087.6202392578125,8085
2010-01-08,1066.0138019688122,1095.4509697319047,1065.9727629783506,1066.13671875,53099
2010-01-11,1087.292080512581,1093.8519120692179,1065.9726279535107,1076.75537109375,2429
2010-01-12,1065.9724170280053,1106.8893782852474,1065.9724170280053,1092.5806884765625,2472
2010-01-13,1066.7926439569942,1143.6246336951078,1066.7926439569942,1100.206787109375,15663
2010-01-14,1118.4509725766022,1118.4509725766022,1103.6913556364418,1112.465087890625,1693
2010-01-15,1112.7112803723314,1145.9204232279537,1112.4652466835198,1128.454833984375,7341
2010-01-18,1123.4124324775169,1138.5410071911315,1115.2126412842067,1133.4161376953125,2061
2010-01-19,1139.6887724085789,1188.969487707651,1135.6708555000666,1155.0223388671875,21090
2010-01-20,1152.0703125,1152.0703125,1152.0703125,1152.0703125,0
2010-01-21,1059.412616339565,1158.630051770747,1030.1394130313677,1114.3511962890625,4169
2010-01-22,1119.1895269572226,1119.2715048506443,1090.5722354954994,1098.403076171875,2876
2010-01-25,1106.930748690251,1106.9717876833924,1082.536370406117,1090.326171875,2506
2010-01-27,1090.5718608050136,1090.5718608050136,1050.5978922228749,1066.177490234375,4356
2010-01-28,1065.1525357948346,1081.9621023720433,1061.9136593460366,1073.92626953125,623
2010-01-29,1025.7935482134674,1088.0709022496283,1025.7935482134674,1074.8692626953125,1334
2010-02-01,1083.192296267236,1105.3317300289434,1070.4826213299596,1101.1907958984375,1820
2010-02-02,1107.7913989428796,1113.4902117713593,1076.8782371007112,1091.432861328125,1254
2010-02-03,1088.931987693455,1107.7915025405557,1087.374007752287,1099.38671875,1883
2010-02-04,1106.9715901327015,1106.9715901327015,1087.3331341828268,1100.247802734375,864
2010-02-05,1051.500380139934,1095.0822976662296,1049.5734489051094,1067.2030029296875,9943
2010-02-08,1082.3721913231668,1111.891432904708,1078.272296659064,1100.57568359375,1863
2010-02-09,1102.7898184686676,1135.6709575825437,1089.1781865773114,1119.558349609375,2870
2010-02-10,1147.150792515421,1167.6502705803857,1116.4426144121471,1145.3878173828125,4677
2010-02-11,1151.2502445630537,1184.0493968298074,1141.4104988830277,1172.897705078125,6262
2010-02-15,1168.5110750570318,1181.5896996332572,1159.5322452491216,1166.830078125,1666
2010-02-16,1160.680186801637,1166.7480509621817,1149.6104711380399,1153.50537109375,864
2010-02-17,1177.8998179313637,1188.14955529589,1157.8103326968921,1160.88525390625,1668
2010-02-18,1158.6301248436398,1170.9298076976063,1156.9901671297775,1162.5250244140625,1125
2010-02-19,1164.3701784100601,1164.3701784100601,1132.104024823138,1147.3145751953125,1381
2010-02-22,1152.070535716782,1160.270326006581,1135.6709551371835,1145.7156982421875,501
2010-02-23,1129.110932061821,1151.7833684000157,1120.9111431579588,1143.78857421875,1637
2010-02-24,1139.770495651106,1139.770495651106,1094.630624112653,1103.650390625,3696
2010-02-25,1084.8321986029289,1118.8613265258475,1016.8559206366825,1041.8243408203125,21002
2010-02-26,1041.3731940540456,1089.7519487384461,1041.3731940540456,1079.3382568359375,5565
2010-03-02,1047.9329656466377,1127.4709137434484,1047.9329656466377,1113.490234375,3906
2010-03-03,1147.9704572500289,1147.9704572500289,1099.1817128169025,1136.61376953125,2205
2010-03-04,1143.0093320033577,1147.9702434505796,1125.5438447850395,1135.7935791015625,2388
2010-03-05,1147.970165540642,1152.0700589890014,1102.8713376086882,1109.7181396484375,3580
2010-03-08,1128.2911051578046,1135.6709161653775,1109.6365828886621,1123.207275390625,763
2010-03-09,1111.932393252903,1123.2890806502999,1102.7896087795193,1113.2852783203125,1750
2010-03-10,1127.4708269547643,1129.1107845212439,1112.2192416055168,1123.575927734375,845
2010-03-11,1117.631333763025,1141.4107238430895,1117.631333763025,1131.6529541015625,40620
2010-03-12,1139.3608027629052,1176.6698466820937,1139.3608027629052,1164.7801513671875,8492
2010-03-15,1168.4699991358618,1171.7499149229097,1158.4662960233998,1160.63916015625,10938
2010-03-16,1172.5697123795326,1176.6696064787618,1152.8902207032327,1156.047119140625,1916
2010-03-17,1162.7302126912516,1164.2881927977971,1153.2184763864207,1158.54833984375,1116
2010-03-18,1158.5481034434858,1180.7695096123143,1147.970356567528,1168.018798828125,2072
2010-03-19,1164.3699674836757,1180.7695444904882,1153.3412919846244,1175.6036376953125,1898
2010-03-22,1168.4698113118143,1205.368857984819,1156.1701290874794,1161.8280029296875,5391
2010-03-23,1184.787571365645,1184.828510254935,1160.2701814350328,1168.469970703125,905
2010-03-25,1170.3559677613862,1188.9694494492126,1164.3700815295738,1183.8856201171875,1408
2010-03-26,1170.191768735324,1180.8105546450536,1143.8704683009614,1152.9312744140625,2135
2010-03-29,1152.0704320510392,1168.4700111549685,1123.3711686191627,1129.8079833984375,739
2010-03-30,1147.9705990910425,1155.3504100851992,1131.5710191040275,1146.8636474609375,467
2010-03-31,1156.1703507952132,1197.1692994049724,1137.3108344347238,1158.42529296875,5000
2010-04-01,1172.56979303976,1237.3481242636349,1172.1598036016344,1224.146484375,12742
2010-04-05,1238.1681182691912,1262.7674848573206,1229.9272904241361,1239.234130859375,9522
2010-04-06,1250.468056851991,1250.468056851991,1212.4210087425236,1230.5015869140625,2063
2010-04-07,1214.388755802123,1246.3268940480152,1214.388755802123,1220.49755859375,1941
2010-04-08,1229.8862526977102,1234.1091636416495,1221.7684423569951,1223.94140625,2445
2010-04-09,1250.4678887244265,1250.4678887244265,1188.9694679674876,1194.5863037109375,4302
2010-04-12,1220.7848789121817,1220.7848789121817,1192.2495672508069,1208.1981201171875,1659
2010-04-13,1197.9892074345769,1213.5277679994767,1197.1692285109393,1202.8680419921875,693
2010-04-15,1190.6093867923669,1220.7025729907525,1190.6093867923669,1206.6400146484375,1070
2010-04-16,1197.9894160882554,1217.5869357955094,1188.9696463572693,1190.3226318359375,2024
2010-04-19,1180.7698112201365,1206.1891613227922,1164.4112694985631,1201.269287109375,1260
2010-04-20,1188.9695014931767,1246.368029151468,1188.9695014931767,1230.8294677734375,2691
2010-04-21,1242.2271369811338,1250.4679659092612,1231.198459549348,1235.5853271484375,2134
2010-04-22,1237.3480733218837,1250.4677348017713,1234.0681579519119,1238.373046875,1693
2010-04-23,1229.9685621729957,1246.368143001969,1225.8686669657525,1242.9652099609375,1034
2010-04-26,1250.4678412822248,1258.667630405387,1218.4886637018926,1230.13232421875,2838
2010-04-27,1248.0079285460654,1303.7664956558765,1225.868497487758,1271.04931640625,37853
2010-04-28,1258.6675171408863,1307.8662474525822,1247.1878134014905,1274.6571044921875,13491
2010-04-29,1294.6646414003205,1307.866281020446,1270.9672323396185,1289.0887451171875,7584
2010-04-30,1287.4079825727288,1302.0445867212504,1279.1261151525623,1293.270751953125,24641
2010-05-03,1276.7073647103657,1307.8665682164633,1276.7073647103657,1302.74169921875,1372
2010-05-04,1316.8862331369535,1324.2660439079575,1299.6666746712772,1312.9913330078125,4013
2010-05-05,1287.408171642527,1332.4659812472792,1287.3671326512174,1312.950439453125,2770
2010-05-06,1325.085925210398,1329.1858197809747,1291.4667897316688,1303.1514892578125,1060
2010-05-07,1287.3671663661737,1316.066434406184,1284.3332837828425,1300.3228759765625,2665
2010-05-10,1319.3463244746108,1319.3463244746108,1254.5679779031414,1276.54345703125,5478
2010-05-11,1294.664816173311,1295.5667730215869,1261.1276562703802,1272.361328125,3145
2010-05-12,1289.0067903655304,1295.5666213597572,1262.767466388624,1270.84423828125,1171
2010-05-13,1307.866330063079,1307.866330063079,1259.077586088939,1272.853271484375,1184
2010-05-14,1275.0672273016185,1289.0068690148837,1266.8674380585212,1273.38623046875,732
2010-05-17,1311.1461654152192,1311.1461654152192,1258.7905364900425,1286.0137939453125,2957
2010-05-18,1273.4272962088132,1352.9652535380178,1273.4272962088132,1342.0185546875,6491
2010-05-19,1344.765630896486,1361.1652117610774,1296.4279063361425,1306.30859375,4977
2010-05-20,1320.1661992706029,1328.3659893281842,1280.0692058700113,1297.206787109375,1279
2010-05-21,1297.1247380525667,1297.1247380525667,1239.8081886761024,1269.1224365234375,2421
2010-05-24,1277.5275085080566,1309.1786835008515,1262.767883891147,1267.9747314453125,1435
2010-05-25,1270.9673251547058,1270.9673251547058,1234.0682737792465,1240.7100830078125,1443
2010-05-26,1279.0853518295664,1279.0853518295664,1232.428523438202,1239.5213623046875,847
2010-05-27,1260.3076879211474,1260.3076879211474,1234.1093996383763,1256.78173828125,583
2010-05-28,1269.3273155917673,1270.0653166082202,1247.187885668655,1254.4857177734375,632
2010-05-31,1270.9669577413026,1270.9669577413026,1246.3675972688902,1250.6724853515625,1481
2010-06-01,1254.5678033460918,1274.2472983005403,1230.7884136094665,1236.897216796875,1095
2010-06-02,1234.0679579744135,1250.4675321667644,1225.868170878238,1249.0736083984375,583
2010-06-03,1260.30760146995,1270.147348521114,1244.7280019722732,1254.5677490234375,699
2010-06-04,1239.8079751057764,1270.1471914278093,1239.8079751057764,1252.4356689453125,762
2010-06-07,1270.9672528692442,1365.264823243414,1270.9672528692442,1344.19140625,24259
2010-06-08,1344.7656373286707,1385.764589686252,1340.6657420929125,1348.49658203125,9842
2010-06-09,1340.665609293405,1376.5807280391168,1321.8880709546202,1329.96484375,1492
2010-06-10,1332.588671047837,1365.2648087641066,1332.4656541992033,1362.10791015625,2251
2010-06-11,1365.2651421481191,1407.9040534944868,1357.0653515045867,1382.689697265625,5087
2010-06-14,1402.1227564951962,1402.1637954746132,1354.3589897780055,1371.2095947265625,1615
2010-06-15,1365.2653196585734,1395.6045489843195,1361.165423803743,1378.426025390625,4598
2010-06-16,1378.4252586067169,1398.0637087889252,1365.3465380481082,1383.591064453125,2263
2010-06-17,1373.4646926775526,1402.163954912606,1373.4646926775526,1378.7945556640625,1671
2010-06-18,1352.965383115465,1398.064229219314,1347.7174973679982,1382.1566162109375,6108
2010-06-21,1382.484664033186,1393.7593758543344,1375.9248317008814,1379.9427490234375,1977
2010-06-22,1381.2545639149332,1393.1442588848154,1369.364868945051,1377.7696533203125,1249
2010-06-23,1369.3647705771955,1385.7643486679403,1369.3647705771955,1374.776611328125,2950
2010-06-24,1377.5644247941052,1390.6840859826204,1353.7850388899212,1361.246826171875,14351
2010-06-25,1369.3648469208053,1398.8840891298764,1369.3648469208053,1395.0711669921875,1851
2010-06-28,1393.9640697139523,1402.1638583593285,1382.4843656104256,1392.16015625,1251
2010-06-29,1393.9643732892337,1468.1724766908076,1393.9643732892337,1404.214111328125,14936
2010-06-30,1415.2425916965715,1430.8632303235238,1411.1837360382717,1426.8863525390625,2629
2010-07-01,1420.121774256249,1480.0622243768103,1403.8041707108582,1441.8101806640625,18016
