Date,Open,High,Low,Close,Volume
2010-01-04,435.4662780761719,435.4662780761719,435.4662780761719,435.4662780761719,0
2010-01-05,435.4662780761719,435.4662780761719,435.4662780761719,435.4662780761719,0
2010-01-06,435.4662780761719,435.4662780761719,435.4662780761719,435.4662780761719,0
2010-01-07,435.4662780761719,435.4662780761719,435.4662780761719,435.4662780761719,0
2010-01-08,105.55130411223041,106.37753741252185,102.25463500909235,103.05814361572266,12960
2010-01-11,99.18933162141178,103.89885992768325,99.1480174260198,103.23580932617188,16500
2010-01-12,104.93161537402612,104.93161537402612,102.09556767343845,103.39688873291016,1366920
2010-01-13,103.3969206081958,104.93164772243867,102.45294738253855,102.8392105102539,20640
2010-01-14,104.72506084918764,107.20376051425718,102.03980287869565,106.09661102294922,6607220
2010-01-15,106.58411486944827,106.58411486944827,103.28124867583978,103.8368911743164,164580
2010-01-18,106.33620153062446,106.33620153062446,103.8575021354709,104.7725601196289,17660
2010-01-19,106.04704263449237,106.17097257901113,104.55982026367279,105.59674072265625,13760
2010-01-20,105.34473430442247,106.37752581721092,104.93161769930708,105.03489685058594,12820
2010-01-21,104.92749291755558,106.12965749480617,103.27502643228864,104.36151885986328,16620
2010-01-22,103.27916000515022,104.51850992521203,102.37030465783684,104.4771957397461,13620
2010-01-25,110.11006334417036,110.11006334417036,103.69229376875172,104.1983642578125,39100
2010-01-27,106.17095758307536,106.37338066630474,103.22130555061798,106.04289245605469,106040
2010-01-28,106.0883441871284,107.82343905391201,104.74572146042304,106.86707305908203,20960
2010-01-29,104.35323759855741,106.5840643305238,104.35323759855741,104.64241790771484,15740
2010-02-01,107.40824498391852,107.40824498391852,103.90295049225125,104.60938262939453,12280
2010-02-02,107.37316124910728,107.37316124910728,104.93164007926632,105.76200866699219,16620
2010-02-03,106.9145903706769,107.41033542325083,105.59262457601375,105.9478988647461,173620
2010-02-04,105.26211854039393,106.74107683161012,105.26211854039393,106.1028060913086,8840
2010-02-05,106.66675196324694,106.66675196324694,100.88311104732966,105.3075942993164,33020
2010-02-08,106.17099018269481,110.38478549746556,106.17099018269481,109.2900161743164,163620
2010-02-09,107.41445607767331,116.6641306158647,107.41445607767331,115.36695098876953,177220
2010-02-10,115.755287329427,134.01503521494,113.13611674285038,113.6153335571289,893980
2010-02-11,116.45763121264112,116.45763121264112,112.61977235307664,113.08040618896484,637620
