Date,Open,High,Low,Close,Volume
2010-01-04,1381.3992435409227,1400.5534263739598,1364.7606863427254,1369.4388427734375,534231
2010-01-05,1380.0748814830401,1383.6497907612463,1332.8513406072213,1338.0150146484375,1407407
2010-01-06,1339.9131280975346,1344.1500506537361,1288.7175013322797,1290.1739501953125,1571353
2010-01-07,1295.7792359354562,1310.7848537902944,1279.890934677392,1282.8038330078125,901165
2010-01-08,1287.83479534069,1292.0717178219743,1254.3810803409015,1265.0174560546875,1294429
2010-01-11,1272.829042320953,1290.7033752661673,1269.2983098873303,1284.083251953125,478942
2010-01-12,1284.0835508390237,1290.4830048645147,1266.6505553902725,1271.9466552734375,767986
2010-01-13,1268.4158036519848,1279.4493440456174,1245.2895460866985,1261.1336669921875,612474
2010-01-14,1270.1813261623727,1273.9327303570844,1245.4661926442725,1248.864501953125,480493
2010-01-15,1244.5833260644156,1273.6236252224685,1242.9503836758454,1247.6285400390625,723389
2010-01-18,1243.7005061389577,1277.242464430853,1241.9351399130685,1261.6630859375,916180
2010-01-19,1266.6506889279058,1279.8909400316818,1247.3199007665048,1252.7926025390625,1009858
2010-01-20,1261.178002357994,1293.1310962439072,1254.2930291894827,1287.26123046875,1376326
2010-01-21,1275.4773199199255,1306.3712342432457,1271.0639035880229,1282.318115234375,1220211
2010-01-22,1271.063802096758,1286.0694164270672,1240.1698902402397,1274.99169921875,650256
2010-01-25,1246.3485359918361,1301.9575712379308,1246.3485359918361,1276.5362548828125,851324
2010-01-27,1263.1195283797872,1277.2424581170874,1191.8870446170404,1209.099365234375,1180230
2010-01-28,1215.4548856198644,1234.8739179246115,1202.2588135852718,1216.6024169921875,835498
2010-01-29,1213.1598954391097,1234.8738821093034,1175.7341036237256,1226.4442138671875,468949
2010-02-01,1226.0469353147303,1253.1452658032754,1213.910041606611,1234.82958984375,584347
2010-02-02,1251.8656937109286,1251.8656937109286,1200.449387235581,1212.4097900390625,573306
2010-02-03,1204.8627880052811,1222.4282084425708,1200.6258647718626,1215.6756591796875,594119
2010-02-04,1209.2761096022653,1222.5163589774727,1196.035860227058,1204.9951171875,453970
2010-02-05,1191.181148738303,1216.381800801749,1165.362661446272,1199.4783935546875,471270
2010-02-08,1213.7777410677518,1225.8705664968843,1189.1508563246216,1202.2587890625,555655
2010-02-09,1196.0359643369698,1212.8069483387428,1185.0024222305403,1194.0499267578125,491001
2010-02-10,1196.0357266368144,1208.0401965129543,1172.4239512216595,1177.4111328125,433681
2010-02-11,1174.0568617317813,1203.5385011311541,1174.0568617317813,1197.227294921875,289022
2010-02-15,1203.980025057307,1208.216948010652,1174.0570395415548,1179.264892578125,288768
2010-02-16,1182.530485288839,1209.672990139141,1177.4992348065919,1198.10986328125,322869
2010-02-17,1209.2318062718807,1224.1933511557343,1205.1274155930016,1218.323486328125,371999
2010-02-18,1226.9295481077688,1226.9295481077688,1190.7395398542303,1200.14013671875,323684
2010-02-19,1195.1531972627758,1218.985646543496,1178.3822144356025,1210.1588134765625,399798
2010-02-22,1218.1028587128044,1238.4045730246844,1216.6023403199542,1223.61962890625,385247
2010-02-23,1209.1435425185027,1226.0469471044182,1163.1115927530009,1179.0440673828125,484780
2010-02-24,1169.5552743645108,1225.9145767906077,1163.0675742037683,1205.2156982421875,827260
2010-02-25,1212.983310203659,1242.7298011422993,1198.6838842861703,1235.6683349609375,794244
2010-02-26,1234.6973464741236,1315.1980140318783,1213.6894424790823,1288.67333984375,1711733
2010-03-02,1299.3098376426342,1324.9076537374958,1290.968523428735,1316.1690673828125,1321957
2010-03-03,1320.4940605951574,1324.8192298034066,1289.2912311811106,1303.28173828125,809671
2010-03-04,1303.7231450552833,1314.3153439318326,1281.7443108365596,1286.201904296875,413804
